"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.93474,0.35532,0,0.0017047,0.54,0
0.5,-0.95292,0.30323,0,0,0.53464,0.01
0.5,-0.93474,0.35532,0,0.0017047,0.54,0.01
0.5,-0.95292,0.30323,0,0,0.53464,0
0.5,0.95288,0.30334,0,0.1,0.53459,0
0.5,0.93487,0.35499,0,0.098278,0.54,0.01
0.5,0.95288,0.30334,0,0.1,0.53459,0.01
0.5,0.93487,0.35499,0,0.098278,0.54,0
0.5,-0.91053,0.41345,0,0.005,0.54741,0.01
0.5,-0.91053,0.41345,0,0.005,0.54741,0
0.5,-0.83658,0.54784,0,0.0062004,0.55,0
0.5,-0.83658,0.54784,0,0.0062004,0.55,0.01
0.5,0.91084,0.41276,0,0.095,0.54739,0
0.5,0.83699,0.54722,0,0.093792,0.55,0.01
0.5,0.91084,0.41276,0,0.095,0.54739,0.01
0.5,0.83699,0.54722,0,0.093792,0.55,0
0.5,-0.52949,0.84831,0,0.01,0.55428,0.01
0.5,-0.52949,0.84831,0,0.01,0.55428,0
0.5,-0.22901,0.97342,0,0.015,0.55567,0.01
0.5,-0.24827,0.96869,0,0.015,0.55567,0
0.5,-0.17703,0.98421,0,0.02,0.55674,0.01
0.5,-0.19338,0.98112,0,0.02,0.55674,0
0.5,-0.12856,0.9917,0,0.025,0.55756,0.01
0.5,-0.14462,0.98949,0,0.025,0.55756,0
0.5,-0.090846,0.99586,0,0.03,0.55812,0.01
0.5,-0.10167,0.99482,0,0.03,0.55812,0
0.5,-0.061408,0.99811,0,0.035,0.55853,0.01
0.5,-0.070717,0.9975,0,0.035,0.55853,0
0.5,-0.035227,0.99938,0,0.04,0.55879,0.01
0.5,-0.043663,0.99905,0,0.04,0.55879,0
0.5,-0.014008,0.9999,0,0.045,0.55892,0.01
0.5,-0.020399,0.99979,0,0.045,0.55892,0
0.5,0.002563,1,0,0.05,0.55896,0.01
0.5,-0.0025272,1,0,0.05,0.55896,0
0.5,0.020459,0.99979,0,0.055,0.55892,0.01
0.5,0.014056,0.9999,0,0.055,0.55892,0
0.5,0.043734,0.99904,0,0.06,0.55879,0.01
0.5,0.035298,0.99938,0,0.06,0.55879,0
0.5,0.070764,0.99749,0,0.065,0.55852,0.01
0.5,0.061467,0.99811,0,0.065,0.55852,0
0.5,0.10172,0.99481,0,0.07,0.55812,0.01
0.5,0.090893,0.99586,0,0.07,0.55812,0
0.5,0.14467,0.98948,0,0.075,0.55756,0.01
0.5,0.12862,0.99169,0,0.075,0.55756,0
0.5,0.19326,0.98115,0,0.08,0.55674,0.01
0.5,0.17699,0.98421,0,0.08,0.55674,0
0.5,0.24841,0.96866,0,0.085,0.55567,0.01
0.5,0.22898,0.97343,0,0.085,0.55567,0
0.5,0.52996,0.84803,0,0.09,0.55428,0.01
0.5,0.52996,0.84803,0,0.09,0.55428,0
